hotel,fooditems
urban-asia-kitchen-bar-jubilee-hills,"['chilli sauce', 'chicken', 'vegetable soup', 'chicken soup', 'salad']"
souza-lobo-restaurant-and-bar-calangute,"['fish', 'mutton', 'chicken', 'prawns masala', 'custard']"
cafe-goodluck-deccan-gymkhana,"['omelette', 'sandwich', 'paneer', 'mutton', 'pudding', 'biryani', 'chapati', 'chicken']"
german-bakery-koregaon-park,"['omelette', 'sandwich', 'salad', 'spanish omelette', 'chicken roll', 'cake', 'chicken', 'chicken sandwich']"
the-night-factory-chandigarh-industrial-area,"['curd', 'mutton', 'paneer', 'pizzas', 'biryani']"
truffles-new-bel-road,"['lamb', 'pepper chicken', 'white sauce', 'cake', 'pasta', 'chicken']"
zucchini-gurukul,"['tikka', 'roasted chicken', 'salad', 'chicken soup', 'shrimps', 'pasta', 'chicken']"
brick-kitchen-ghatlodia,"['tikka', 'gravy', 'manchow', 'paneer', 'biryani', 'pasta', 'chutney']"
dishkiyaaon-bandra-kurla-complex,"['chicken', 'paneer', 'chutney']"
la-pinoz-pizza-1-sector-9,"['chicken', 'pizzas', 'chicken pizza', 'paneer']"
650-the-global-kitchen-ambavadi,"['kebab', 'allo', 'paneer', 'coffeee', 'biryani', 'pasta', 'pizzas', 'stew']"
united-kitchens-of-india-jubilee-hills,"['chicken', 'mutton']"
bubsterrs-kalyani-nagar,"['chicken', 'pizzas', 'paneer', 'chicken pizza']"
bon-appetit-hazra,"['chilli chicken', 'sandwich', 'salad', 'white sauce', 'allo', 'pan cake', 'paneer', 'coffeee', 'cake', 'curd', 'mutton', 'cookie', 'mexican rice', 'pasta', 'pudding', 'chicken', 'pizzas']"
tomatos-c-g-road,"['kebab', 'salad', 'paneer', 'biryani', 'pasta', 'chicken', 'kebabs']"
prithvi-cafe-juhu,"['chicken', 'coffeee']"
food-station-habib-ganj,"['sandwich', 'coffeee']"
oye-pappe-bhawar-kuan,"['pasta', 'tikka', 'paneer']"
brindhavan-vegetarian-restaurant-1-palarivattom,"['chutney', 'appam', 'paneer']"
katani-dhaba-sector-35,['paneer']
midnight-meals-gomti-nagar,"['chicken', 'chicken biryani', 'paneer', 'biryani']"
funduz-maharana-pratap-nagar,['sandwich']
surguru-gandhinagar,"['chutney', 'coffeee']"
carte-blanche-white-town,['fish']
kimchi-kharadi,"['lamb', 'chicken']"
tea-star-navrangpura,['sandwich']
little-italy-c-scheme,"['pasta', 'cake', 'salad', 'white sauce']"
town-table-restaurant-hathibarkala-salwala,['paneer']
shanghai-salsa-zoo-tiniali,"['chicken', 'sandwich']"
terra-mayaa-lounge-christian-basti,"['chilli chicken', 'chicken', 'chicken wings']"
tabla-hitech-city,['chicken']
cafe-17-taj-chandigarh-sector-17,['puris']
oliviya-restaurant-kankarbagh,['kebab']
barbeque-nation-rajguru-nagar,"['tikka', 'mutton', 'fish', 'paneer', 'cake', 'chicken']"
niniskitchen,"['tikka', 'gravy', 'sandwich', 'kebab', 'paneer', 'rosa', 'cake', 'biryani', 'pasta', 'chicken', 'pizzas', 'kebabs', 'chutney']"
biryani-by-kilo-dlf-phase-1-gurgaon,"['gravy', 'mutton', 'kebab', 'kheer', 'chicken biryani', 'biryani', 'chicken', 'kebabs']"
pronto-hill-road-bandra-west,"['pasta', 'pizzas']"
pizza-da-dhaba-fatehgunj,"['base sauce', 'mayonnaise', 'pizzas', 'paneer']"
bikanervala-sector-29-gurgaon,"['papdi chaat', 'samosa chat', 'sandwich', 'sambar', 'kebab', 'allo', 'puris', 'paneer', 'sambhar', 'cookie', 'cake', 'raj kachori', 'pasta']"
sree-krishna-kafe-koramangala-5th-block,"['sambhar', 'chutney']"
gusto-kitchen-kaffe-sector-7,"['lamb', 'fish', 'cake', 'pasta', 'chicken', 'pizzas']"
cafe-totaram-race-course,"['tikka', 'sandwich', 'paneer', 'coffeee', 'chicken', 'pizzas', 'custard']"
punjab-sweet-house-kanka,['kalakand']
big-chicken-jayalakhsmipuram,"['chicken curry', 'chicken', 'mutton']"
